,Accuracy,Precision,Recall,F1,FPR,ROC-AUC
Logistic Regression,0.7339147954720182,0.34381663113006394,0.7607413647851727,0.47359311900141604,0.2710941924117536,0.8209842718716378
Random Forest,0.7590731953023515,0.36422358108690034,0.7125526537489469,0.48204719024279036,0.23224060907317687,0.8207599409933457
Neural Network,0.7212428090453593,0.336521987435751,0.7942712721145746,0.47274732989018703,0.29239287736739444,0.8268942746911461
