Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.734184312949403,0.31589673913043476,0.7631887456037515,0.27056385061221355,0.4468391790788661,0.8244596493692697
Black,2700,0.24444444444444444,0.6196296296296296,0.38393421884882983,0.9196969696969697,0.4774509803921569,0.5417224453369032,0.795965909090909
American Indian/Alaska Native,497,0.28772635814889336,0.6559356136820925,0.4485294117647059,0.8531468531468531,0.423728813559322,0.5879518072289157,0.8014894709809964
Asian,736,0.15081521739130435,0.7228260869565217,0.3132530120481928,0.7027027027027027,0.2736,0.43333333333333335,0.7935783783783783
Native HI/Pacific Islander,107,0.19626168224299065,0.7570093457943925,0.4418604651162791,0.9047619047619048,0.27906976744186046,0.59375,0.9246954595791805
Other,131,0.19083969465648856,0.6946564885496184,0.3728813559322034,0.88,0.3490566037735849,0.5238095238095238,0.8162264150943397
Multiracial,661,0.19818456883509833,0.7186081694402421,0.3992673992673993,0.8320610687022901,0.30943396226415093,0.5396039603960396,0.8438283162897883
Hispanic,2571,0.22520420070011668,0.6880591209646052,0.4091279543602282,0.8670120898100173,0.36395582329317266,0.5559246954595792,0.8270265864841058
