Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7466851375420542,0.3227815256875973,0.7291910902696366,0.2504510037231797,0.4474820143884892,0.8176634571541852
Black,2700,0.24444444444444444,0.6325925925925926,0.3896276595744681,0.8878787878787879,0.45,0.5415896487985212,0.796680778371955
American Indian/Alaska Native,497,0.28772635814889336,0.6639839034205232,0.45384615384615384,0.8251748251748252,0.4011299435028249,0.5856079404466501,0.7917703765161391
Asian,736,0.15081521739130435,0.7540760869565217,0.33796296296296297,0.6576576576576577,0.2288,0.44648318042813456,0.7939963963963964
Native HI/Pacific Islander,107,0.19626168224299065,0.794392523364486,0.48717948717948717,0.9047619047619048,0.23255813953488372,0.6333333333333333,0.9296788482834994
Other,131,0.19083969465648856,0.6641221374045801,0.3389830508474576,0.8,0.36792452830188677,0.47619047619047616,0.7920754716981132
Multiracial,661,0.19818456883509833,0.7382753403933434,0.4186046511627907,0.8244274809160306,0.2830188679245283,0.5552699228791774,0.8356330116664266
Hispanic,2571,0.22520420070011668,0.6973940101127966,0.4142980189491817,0.8307426597582038,0.3413654618473896,0.5528735632183908,0.8245781051667811
