Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7663104426413352,0.339699863574352,0.7005861664712778,0.22293018078532223,0.4575453640609448,0.8215839350653634
Black,2700,0.24444444444444444,0.6792592592592592,0.4185126582278481,0.8015151515151515,0.3602941176470588,0.5498960498960499,0.7909558823529412
American Indian/Alaska Native,497,0.28772635814889336,0.7122736418511066,0.5,0.6853146853146853,0.2768361581920904,0.5781710914454278,0.7944372012168622
Asian,736,0.15081521739130435,0.8043478260869565,0.38620689655172413,0.5045045045045045,0.1424,0.4375,0.7928144144144144
Native HI/Pacific Islander,107,0.19626168224299065,0.7850467289719626,0.47368421052631576,0.8571428571428571,0.23255813953488372,0.6101694915254238,0.8914728682170542
Other,131,0.19083969465648856,0.7633587786259542,0.43478260869565216,0.8,0.24528301886792453,0.5633802816901409,0.8098113207547171
Multiracial,661,0.19818456883509833,0.7700453857791225,0.4507042253521127,0.732824427480916,0.22075471698113208,0.5581395348837209,0.8390465216765086
Hispanic,2571,0.22520420070011668,0.749513807856865,0.4644030668127054,0.7322970639032815,0.24548192771084337,0.5683646112600537,0.8165199658738581
