Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7465532027178574,0.32352637555486735,0.7348182883939038,0.2515257359996929,0.4492545871559633,0.816206867334056
Black,2700,0.24444444444444444,0.6325925925925926,0.38948069241011984,0.8863636363636364,0.44950980392156864,0.5411655874190564,0.7960632055852646
American Indian/Alaska Native,497,0.28772635814889336,0.670020120724346,0.45849802371541504,0.8111888111888111,0.3870056497175141,0.5858585858585859,0.7889455177590771
Asian,736,0.15081521739130435,0.7567934782608695,0.3411214953271028,0.6576576576576577,0.2256,0.4492307692307692,0.7976720720720721
Native HI/Pacific Islander,107,0.19626168224299065,0.8411214953271028,0.5588235294117647,0.9047619047619048,0.1744186046511628,0.6909090909090909,0.9263565891472869
Other,131,0.19083969465648856,0.7022900763358778,0.375,0.84,0.330188679245283,0.5185185185185185,0.7962264150943397
Multiracial,661,0.19818456883509833,0.7518910741301059,0.4331983805668016,0.816793893129771,0.2641509433962264,0.5661375661375662,0.834034279130059
Hispanic,2571,0.22520420070011668,0.705173084402956,0.4216972878390201,0.8324697754749568,0.3318273092369478,0.5598141695702671,0.8252288081514314
