Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.745101919651692,0.32369412483453824,0.745369284876905,0.2549418493071815,0.45137015476359504,0.8234359403270698
Black,2700,0.24444444444444444,0.6192592592592593,0.382051282051282,0.9030303030303031,0.4725490196078431,0.5369369369369369,0.7950115121806297
American Indian/Alaska Native,497,0.28772635814889336,0.6378269617706237,0.4336917562724014,0.8461538461538461,0.4463276836158192,0.5734597156398105,0.7969262376042038
Asian,736,0.15081521739130435,0.7404891304347826,0.3347107438016529,0.7297297297297297,0.2576,0.45892351274787535,0.7979747747747747
Native HI/Pacific Islander,107,0.19626168224299065,0.794392523364486,0.48717948717948717,0.9047619047619048,0.23255813953488372,0.6333333333333333,0.9280177187153931
Other,131,0.19083969465648856,0.7022900763358778,0.3793103448275862,0.88,0.33962264150943394,0.5301204819277109,0.8166037735849055
Multiracial,661,0.19818456883509833,0.7382753403933434,0.4198473282442748,0.8396946564885496,0.28679245283018867,0.5597964376590331,0.8439291372605501
Hispanic,2571,0.22520420070011668,0.6841695838195255,0.4058205335489086,0.8670120898100173,0.3689759036144578,0.552863436123348,0.8287463324801799
