,Accuracy,Precision,Recall,F1,FPR,ROC-AUC
Logistic Regression,0.7349752127462157,0.34538672350791716,0.7644481887110363,0.4758009543285617,0.2705279053671428,0.8196920661133631
Random Forest,0.7735744015270009,0.37447013487475916,0.6549283909014322,0.47649402390438245,0.20427232114767507,0.8127747688827416
Neural Network,0.730309376739747,0.3430137798192325,0.7801179443976411,0.4765090310296918,0.278990750644938,0.8262639722436125
