Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7797677947094136,0.3484924623115578,0.6504103165298944,0.19905577092849192,0.4538241308793456,0.8154382339652207
Black,2700,0.24444444444444444,0.6951851851851852,0.4276841171251109,0.7303030303030303,0.3161764705882353,0.5394515948517068,0.7843371212121211
American Indian/Alaska Native,497,0.28772635814889336,0.7424547283702213,0.5471698113207547,0.6083916083916084,0.2033898305084746,0.5761589403973509,0.7851527004069377
Asian,736,0.15081521739130435,0.8247282608695652,0.425,0.4594594594594595,0.1104,0.44155844155844154,0.7820180180180181
Native HI/Pacific Islander,107,0.19626168224299065,0.822429906542056,0.5357142857142857,0.7142857142857143,0.1511627906976744,0.6122448979591837,0.8787375415282392
Other,131,0.19083969465648856,0.7633587786259542,0.42857142857142855,0.72,0.22641509433962265,0.5373134328358209,0.7928301886792454
Multiracial,661,0.19818456883509833,0.7851739788199698,0.4696132596685083,0.648854961832061,0.1811320754716981,0.5448717948717948,0.8334725622929569
Hispanic,2571,0.22520420070011668,0.7697394010112797,0.49148099606815204,0.6476683937823834,0.19477911646586346,0.5588673621460507,0.8085116805737633
