Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7467840886602019,0.3228820598006645,0.7291910902696366,0.2503358538364104,0.44757861408937183,0.8176059812064045
Black,2700,0.24444444444444444,0.6311111111111111,0.3884462151394422,0.8863636363636364,0.4514705882352941,0.5401662049861495,0.7971397801544862
American Indian/Alaska Native,497,0.28772635814889336,0.6619718309859155,0.4521072796934866,0.8251748251748252,0.403954802259887,0.5841584158415841,0.7905258583224686
Asian,736,0.15081521739130435,0.7554347826086957,0.3380281690140845,0.6486486486486487,0.2256,0.4444444444444444,0.794263063063063
Native HI/Pacific Islander,107,0.19626168224299065,0.7757009345794392,0.4634146341463415,0.9047619047619048,0.2558139534883721,0.6129032258064516,0.9269102990033223
Other,131,0.19083969465648856,0.6717557251908397,0.3448275862068966,0.8,0.3584905660377358,0.4819277108433735,0.7924528301886792
Multiracial,661,0.19818456883509833,0.7382753403933434,0.4186046511627907,0.8244274809160306,0.2830188679245283,0.5552699228791774,0.8351865187959095
Hispanic,2571,0.22520420070011668,0.6970050563982886,0.41379310344827586,0.8290155440414507,0.3413654618473896,0.5520414031052329,0.824166267834724
