Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7849132528530905,0.3559018906489525,0.6532239155920281,0.19352857636356657,0.4607624245431241,0.8185671115274126
Black,2700,0.24444444444444444,0.7062962962962963,0.43981900452488687,0.7363636363636363,0.3034313725490196,0.5507082152974504,0.7875289661319073
American Indian/Alaska Native,497,0.28772635814889336,0.7464788732394366,0.5515151515151515,0.6363636363636364,0.20903954802259886,0.5909090909090909,0.7949113033858797
Asian,736,0.15081521739130435,0.8233695652173914,0.41739130434782606,0.43243243243243246,0.1072,0.4247787610619469,0.7862774774774774
Native HI/Pacific Islander,107,0.19626168224299065,0.822429906542056,0.5333333333333333,0.7619047619047619,0.16279069767441862,0.6274509803921569,0.8815060908084162
Other,131,0.19083969465648856,0.7633587786259542,0.425,0.68,0.2169811320754717,0.5230769230769231,0.7928301886792454
Multiracial,661,0.19818456883509833,0.7957639939485628,0.48863636363636365,0.6564885496183206,0.16981132075471697,0.5602605863192183,0.8366988333573383
Hispanic,2571,0.22520420070011668,0.765071956437184,0.48370273794002605,0.6407599309153713,0.19879518072289157,0.5512630014858841,0.8138356534948082
