Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7496866547925325,0.3273067331670823,0.738569753810082,0.24849345564810194,0.4535963712290302,0.8243570674244209
Black,2700,0.24444444444444444,0.6270370370370371,0.3859303090072321,0.8893939393939394,0.45784313725490194,0.5382851902796882,0.7939245395127746
American Indian/Alaska Native,497,0.28772635814889336,0.676056338028169,0.4645669291338583,0.8251748251748252,0.384180790960452,0.5944584382871536,0.7978941961992809
Asian,736,0.15081521739130435,0.748641304347826,0.336283185840708,0.6846846846846847,0.24,0.45103857566765576,0.7972756756756757
Native HI/Pacific Islander,107,0.19626168224299065,0.822429906542056,0.5294117647058824,0.8571428571428571,0.18604651162790697,0.6545454545454545,0.9330011074197121
Other,131,0.19083969465648856,0.7251908396946565,0.39215686274509803,0.8,0.29245283018867924,0.5263157894736842,0.8188679245283018
Multiracial,661,0.19818456883509833,0.7261724659606656,0.40458015267175573,0.8091603053435115,0.2943396226415094,0.539440203562341,0.8398818954342504
Hispanic,2571,0.22520420070011668,0.6884480746791132,0.40765391014975044,0.846286701208981,0.357429718875502,0.5502526670409882,0.8247653827746219
