Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7336565736526156,0.3093856313788273,0.7249706916764361,0.26492150616051896,0.4336910021740655,0.8025663935392948
Black,2700,0.24444444444444444,0.6581481481481481,0.39938791124713086,0.7909090909090909,0.38480392156862747,0.530757498729029,0.779137329174094
American Indian/Alaska Native,497,0.28772635814889336,0.6981891348088531,0.484304932735426,0.7552447552447552,0.3248587570621469,0.5901639344262295,0.7696949942712654
Asian,736,0.15081521739130435,0.8070652173913043,0.3973509933774834,0.5405405405405406,0.1456,0.4580152671755725,0.768136936936937
Native HI/Pacific Islander,107,0.19626168224299065,0.794392523364486,0.48717948717948717,0.9047619047619048,0.23255813953488372,0.6333333333333333,0.9019933554817275
Other,131,0.19083969465648856,0.7251908396946565,0.39622641509433965,0.84,0.3018867924528302,0.5384615384615384,0.8020754716981132
Multiracial,661,0.19818456883509833,0.7503782148260212,0.42916666666666664,0.7862595419847328,0.25849056603773585,0.555256064690027,0.8238369580872822
Hispanic,2571,0.22520420070011668,0.7296771684169584,0.44223107569721115,0.7668393782383419,0.28112449799196787,0.5609602021478206,0.8130561971547677
