Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7140312685533347,0.29813949225552194,0.7627198124267291,0.293939277626377,0.4287032156035846,0.8086809695215484
Black,2700,0.24444444444444444,0.6362962962962962,0.385,0.8166666666666667,0.42205882352941176,0.5233009708737864,0.7778880718954249
American Indian/Alaska Native,497,0.28772635814889336,0.6780684104627767,0.46530612244897956,0.7972027972027972,0.3700564971751412,0.5876288659793815,0.7805598356445814
Asian,736,0.15081521739130435,0.8057065217391305,0.39473684210526316,0.5405405405405406,0.1472,0.45627376425855515,0.7680216216216217
Native HI/Pacific Islander,107,0.19626168224299065,0.7476635514018691,0.42857142857142855,0.8571428571428571,0.27906976744186046,0.5714285714285714,0.8931339977851606
Other,131,0.19083969465648856,0.6717557251908397,0.359375,0.92,0.3867924528301887,0.5168539325842697,0.8137735849056603
Multiracial,661,0.19818456883509833,0.7337367624810892,0.41312741312741313,0.816793893129771,0.28679245283018867,0.5487179487179488,0.8320034567189976
Hispanic,2571,0.22520420070011668,0.7078957604045119,0.4229390681003584,0.8151986183074266,0.3232931726907631,0.5569321533923304,0.8160899209965943
