Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7235635596015568,0.3039626595542008,0.7481828839390386,0.28046674087437146,0.4322969586127481,0.8074783529237384
Black,2700,0.24444444444444444,0.6511111111111111,0.3952451708766716,0.806060606060606,0.3990196078431373,0.5304087736789631,0.7802398989898989
American Indian/Alaska Native,497,0.28772635814889336,0.6961770623742455,0.48214285714285715,0.7552447552447552,0.327683615819209,0.5885558583106267,0.786624392556596
Asian,736,0.15081521739130435,0.8070652173913043,0.3973509933774834,0.5405405405405406,0.1456,0.4580152671755725,0.7660756756756757
Native HI/Pacific Islander,107,0.19626168224299065,0.7289719626168224,0.40476190476190477,0.8095238095238095,0.29069767441860467,0.5396825396825397,0.87984496124031
Other,131,0.19083969465648856,0.7251908396946565,0.40350877192982454,0.92,0.32075471698113206,0.5609756097560976,0.8111320754716982
Multiracial,661,0.19818456883509833,0.7443267776096822,0.42083333333333334,0.7709923664122137,0.2622641509433962,0.5444743935309974,0.8300662537807865
Hispanic,2571,0.22520420070011668,0.7125632049786076,0.4252336448598131,0.7858376511226253,0.30873493975903615,0.5518496058217102,0.812069088096774
