,Accuracy,Precision,Recall,F1,FPR,ROC-AUC
Logistic Regression,0.7293815116248243,0.3357927907155484,0.7361415332771694,0.4612055315106091,0.2718807021959353,0.8036699407913844
Random Forest,0.7192810370880942,0.3292486058115644,0.7560235888795283,0.45872309972908043,0.28757943748820236,0.807810467548063
Neural Network,0.7096577503247528,0.32320811896539575,0.7727042965459141,0.4557741999602465,0.30211413829988043,0.8087394740872126
