Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7321063394683026,0.30820487319741424,0.7266119577960141,0.26699420412236596,0.4328212290502793,0.8052558116156853
Black,2700,0.24444444444444444,0.6585185185185185,0.4009077155824508,0.803030303030303,0.38823529411764707,0.5348133198789102,0.781404486036839
American Indian/Alaska Native,497,0.28772635814889336,0.6921529175050302,0.47844827586206895,0.7762237762237763,0.3418079096045198,0.592,0.7708308640512029
Asian,736,0.15081521739130435,0.8165760869565217,0.42,0.5675675675675675,0.1392,0.4827586206896552,0.7651027027027026
Native HI/Pacific Islander,107,0.19626168224299065,0.8037383177570093,0.5,0.8571428571428571,0.20930232558139536,0.631578947368421,0.9130675526024363
Other,131,0.19083969465648856,0.7251908396946565,0.39622641509433965,0.84,0.3018867924528302,0.5384615384615384,0.800377358490566
Multiracial,661,0.19818456883509833,0.7549167927382754,0.4340425531914894,0.7786259541984732,0.2509433962264151,0.5573770491803278,0.8260046089586635
Hispanic,2571,0.22520420070011668,0.7296771684169584,0.44313725490196076,0.7806563039723662,0.285140562248996,0.5653533458411507,0.8132209320875904
