Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7199023682300943,0.30179124073900404,0.7545134818288394,0.28576363566575824,0.43113612004287244,0.8106737240332844
Black,2700,0.24444444444444444,0.6370370370370371,0.38587731811697573,0.8196969696969697,0.42205882352941176,0.524733268671193,0.7763725490196078
American Indian/Alaska Native,497,0.28772635814889336,0.6861167002012073,0.47280334728033474,0.7902097902097902,0.3559322033898305,0.5916230366492147,0.7808660266287386
Asian,736,0.15081521739130435,0.8016304347826086,0.3841059602649007,0.5225225225225225,0.1488,0.44274809160305345,0.7649009009009009
Native HI/Pacific Islander,107,0.19626168224299065,0.7476635514018691,0.425,0.8095238095238095,0.26744186046511625,0.5573770491803278,0.8992248062015504
Other,131,0.19083969465648856,0.6870229007633588,0.36666666666666664,0.88,0.3584905660377358,0.5176470588235295,0.8135849056603773
Multiracial,661,0.19818456883509833,0.7428139183055976,0.4204081632653061,0.7862595419847328,0.2679245283018868,0.5478723404255319,0.8327884199913582
Hispanic,2571,0.22520420070011668,0.7106184364060677,0.4249317561419472,0.8065630397236615,0.3172690763052209,0.5566150178784267,0.8143974863183303
