Group,n,Base Rate,Accuracy,Precision,Recall,FPR,F1,ROC-AUC
White,30318,0.14067550629988784,0.7464212678936605,0.31825422108951895,0.7026963657678781,0.24642075768625493,0.4380938459289578,0.8049834927080062
Black,2700,0.24444444444444444,0.6755555555555556,0.4121951219512195,0.7681818181818182,0.35441176470588237,0.5365079365079365,0.7729686571598336
American Indian/Alaska Native,497,0.28772635814889336,0.7223340040241448,0.5120772946859904,0.7412587412587412,0.2853107344632768,0.6057142857142858,0.7856268025759552
Asian,736,0.15081521739130435,0.8220108695652174,0.4253731343283582,0.5135135135135135,0.1232,0.46530612244897956,0.7567855855855855
Native HI/Pacific Islander,107,0.19626168224299065,0.7757009345794392,0.4594594594594595,0.8095238095238095,0.23255813953488372,0.5862068965517241,0.8682170542635659
Other,131,0.19083969465648856,0.7099236641221374,0.3617021276595745,0.68,0.2830188679245283,0.4722222222222222,0.8030188679245283
Multiracial,661,0.19818456883509833,0.7685325264750378,0.4481132075471698,0.7251908396946565,0.22075471698113208,0.5539358600583091,0.8275889384992078
Hispanic,2571,0.22520420070011668,0.7300661221314664,0.43940990516332984,0.7202072538860104,0.26706827309236947,0.5458115183246073,0.8032540351388282
