,Accuracy,Precision,Recall,F1,FPR,ROC-AUC
Logistic Regression,0.7283741152143368,0.3354956880103793,0.7406908171861837,0.4618132156739153,0.27392562763480777,0.8060060696556919
Random Forest,0.7417353728692241,0.3443963050764326,0.7098567818028644,0.4637824746807574,0.25231233876549425,0.8040306671760404
Neural Network,0.71485379496832,0.326570256853011,0.7647851727042966,0.45769890087728143,0.29446926319763417,0.8101684941169598
